text,translated_te,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
أمريكا قتلت بالامس معوق رفض رفع يديه فماذا تريد من الشرطة المصرية أن تفعل عندما تتعامل مع مسلحين معهم متفجرات,"గతంలో అమెరికా ఒక వ్యక్తిని, అతను తన చేతులను ఎత్తడానికి నిరాకరించాడు. ఇప్పుడు, అతను పేలుడు పదార్థాలతో ఉన్న ఆయుధాలతో ఉన్న వ్యక్తులతో వ్యవహరించేటప్పుడు, ఈజిప్టు పోలీసుల నుండి అతను ఏమి కోరుకుంటున్నాడు?",arb,arb_ded3468b5ff1e724ee7a6fea9e7e9b31,1,1,1,0,0,0,1,1,0,0,1,1
"هي زعلت لية مش فاهم 
ماهي وكل النسوان بيروحوا الجيم المختلط علشان يتم التحرش بيهم",నేను అర్థం చేసుకోలేకపోతున్నాను. మహిళలు కలిసి వ్యాయామశాలలో వెళ్లడం వల్ల లైంగిక వేధింపులకు గురయ్యే అవకాశం ఉంది.,arb,arb_70ec85371e45ab3806c3401d14c46dfa,1,0,0,0,1,0,1,1,0,1,1,1
مين سائل عنن وين ماكانو يكونو بجهنم تاخدن هم والنصيرية ديدن واحد... منافقين مرتدين يكرهون المسلمين,"""వారు ఎక్కడ ఉన్నా, నరకంలో ఉండవచ్చు... కానీ వారు నిస్సహాయులు మరియు నిస్సహాయులు... వారు అబద్ధాలు చెబుతూ, ముస్లింలను ద్వేషిస్తారు.""",arb,arb_503f064bd77052039171377f61b4a6a5,1,0,1,1,0,0,1,1,0,1,1,1
شعب جاهل ومتخلف يحب الخير لأمه وأخته دين ذكوري وإحتقار المرأة تسعى وتشتغل مثلها الرجل,"జ్ఞానం లేని, అభివృద్ధి లేని ఒక సమాజం, తమ తల్లి, సోదరి కోసం మంచి కోరుకుంటుంది. పురుషులు మాత్రమే పని చేయాలని, స్త్రీలు పని చేయకూడదని భావిస్తారు.",arb,arb_5134aff5e639ba63948b404d58ccddd5,1,0,1,1,1,1,1,1,0,1,1,1
الخليجيين يظنوا بانهم افضل من الاخرين بسبب فلوسهم بس لازم يعرفوا بان النخوه و العرووووبه فوق المال و الفلوس بالحذاااااء,"""ఖలీజులు తమ దగ్గర ఉన్న డబ్బు కారణంగా, మిగిలిన వారి కంటే తాము గొప్ప అని అనుకుంటారు. కానీ నిజానికి, గౌరవం, దయ, మరియు నిజాయితీ అనేవి డబ్బు కంటే చాలా ముఖ్యమైనవి.""",arb,arb_303d8816de891f54aefdba7e2c4fe0cf,1,0,1,0,0,0,1,1,0,1,0,1
لعنه الله عليك أو على احمد الشرع,దేవుడు ఆహ్మద్ ష్రె మీద ప్రతీకారం తీర్చుకోవాలని లేదా ఆహ్మద్ ష్రె మీద ప్రతీకారం తీర్చుకోవాలని.,arb,arb_9eb8a241e79b72d03edf44521024475a,1,1,1,0,0,1,0,1,0,1,0,0
لعنه الشعب التونسي الساكت والخانس لعنكم,"తొనిసియన్ ప్రజల నిశ్శబ్దానికి, హాన్స్‌కు శాపం.",arb,arb_5ce632d936375dbc64ed86cc7507d9ce,1,1,1,0,0,0,0,1,0,1,0,1
অসৎ লোকেরা ভাসতে ভাসতে একটা সময় ডুবে যায় আর সৎ লোকেরা ডুবতে ডুবতে একটা সময় ভেসে ওঠেএখন সিদ্ধান্ত আপনার সৎ হবেন নাকি অসৎ হবেন,"దుష్ట వ్యక్తులు నీటిలో మునిగిపోతూ, నిజాయితీగల వ్యక్తులు మునిగిపోతూ, ఒకానొక సమయంలో వాళ్ళు తిరిగి పైకి వస్తారు. ఇప్పుడు మీ నిర్ణయం మీరే తీసుకోండి - మీరు నిజాయితీగా ఉండాలనుకుంటున్నారా లేదా?",ben,ben_c24c3687ae7dccaf30a435c182dfd378,0,0,0,0,0,0,0,0,0,0,0,0
যে ক্যাপ্টেন আগে বাংলাদেশ ক্রিকেটের প্রাণ ছিলেন এখন উনি সারা দেশের একজন প্রাণের মানুষ হিসেবে নিজেকে তৈরী করছেন কোটি মানুষের ভালবাসার মানুষ এই মাশরাফী বিন মর্তুজা এভাবেই এগিয়ে যান বাংলার মানুষকে ভালোবেসে,"గతంలో క్రికెట్‌లో ఆధిపత్యం చెలాయించిన కెప్టెన్, ఇప్పుడు దేశవ్యాప్తంగా ఒక ముఖ్యమైన వ్యక్తిగా తన స్థానాన్ని సుస్థిరం చేసుకుంటున్నారు. లక్షలాది మంది ప్రజల ప్రేమను పొందుతూ, మాషరాఫీ బిన మర్తుజా ఈ విధంగా ముందుకు సాగుతున్నారు.",ben,ben_6f4a2e24c877f52a4f78b8cd865b74c2,0,0,0,0,0,0,0,0,0,0,0,0
তাউহিদ কাকে বলে আল্লাহ তাআলা এক ও দিতিয় তাহার কোন শরিক নাই তাই তিনি অতলোনিওএই শিক্রির পাশাপাশী জিবনের সকল কর্মকান্ডে এক মাত্র তাহারি অনুগত্য করার নাম বাস্তোব তাওহিদ তাওহিদ ইসলামে মুল বিত্তইসলামের সকল কর্মকান্ডো তাওহিদের উপর প্রতিষ্টিততাওহিদের মধ্যমে মানুষ ইমানের উচ্ছ আশনে আসিন হতে সক্ষম,"""తావుహీద్ అంటే ఏమిటి? దేవుడు ఒక్కడే, ఆయనకు ఎలాంటి భాగస్వాములు లేరు. ఆయనను మాత్రమే ఆరాధించడం, ఆయనకు అన్నీ అనుగుణంగా జీవించడం, ఆయన మార్గంలో నడవడమే తావుహీద్. ఇది ఇస్లాం యొక్క ప్రధాన సూత్రం. ఇస్లాంలోని అన్ని కార్యకలాప",ben,ben_4f58973ac646117e766ff44e1873502f,0,0,0,0,0,0,0,0,0,0,0,0
আমাদের চাঁদপুর জেলা হাজিগঞ্জ উপজেলা ৬ নং পূর্ব ইউনিয়ন স্বাস্থ্য সেবা হাসপাতালে দীর্ঘদিন স্বাস্থ্যসেবা বন্ধ থাকার পর পরবর্তীতে সরকারিভাবে একজন প্যারামেটিক ডাক্তার আসার পর অনেক ভালো সেবা হয়েছিল এমনকি অনেক নরমাল ডেলিভারিও হয়েছিল কিন্তু দুঃখের বিষয় এলাকার কিছু হাতুড়ি ডাক্তারের কারণে এই সেবা থেকে এলাকার মানুষ বঞ্চিত হইল বর্তমানে হাসপাতালটি বন্ধ অবস্থায় আছে বিষয়টি মাননীয় স্বাস্থ্যমন্ত্রী মহোদয়ের দৃষ্টিতে আনার জন্য অনুরোধ করা হইল,"మాది চাঁদপুর జిల్లా, హజిఘన్ గ్రామంలోని 6వ తూర్పు గ్రామంలోని ఆరోగ్య కేంద్రం చాలా కాలం నుండి సేవలు నిలిపి ఉన్నాయి. ఆ తరువాత ప్రభుత్వం ఒక పారామెడికల్ వైద్యుడిని నియమించిన తరువాత, అక్కడ మంచి సేవలు అందించారు. అంతేకాకుండా, చాలా సాధారణ ప్రసవాలు కూడా జరిగాయి. అయితే",ben,ben_5294e4359b9ba1b2a6fd996b1d7fde69,0,0,0,0,0,0,0,0,0,0,0,0
আমরা যে কমেন্ট করি এই কমেন্টের মূল্য আছে কিনা আমার জানা নেই তাই আর কোন কমেন্ট করি না,"మేము చేసే వ్యాఖ్యలకు విలువ ఉందా లేదా అని నాకు తెలియదు, కాబట్టి నేను ఇకపై ఏ వ్యాఖ్యలు చేయను.",ben,ben_91792af3b2d6d80c0166c6d5ab435f73,0,0,0,0,0,0,0,0,0,0,0,0
কাদের কাকু আপনি মাদেরকে এতো এতো খুশির খবর দিচ্ছেন কিন্তু একটা বিষয় বুঝলাম না এতো খুশির সংবাদের মধ্যেও আপনি এবং আপনার ডানে বামে যারা আছে তাদের কারো মুখেই হাসি নেই নেই কোনো খুশির প্রতিচ্ছবি কাকু কারন টা একটু খোলাসা করলে আমরা মুখখ সুখখ মানুষ বুজবার পারতাম,"మీరు మాకు ఎంతో సంతోషకరమైన వార్తలను తెలియజేస్తున్నారు, కానీ నాకు ఒక విషయం అర్థం కాలేదు. ఆ సంతోషకరమైన వార్తల్లో కూడా, మీరు మరియు మీ పక్కన ఉన్న వ్యక్తుల్లో ఎవరి ముఖంలోనూ సంతోషం కనిపించడం లేదు. కారణం ఏమిటంటే, మనం మరింత వివరంగా పరిశీలిస్తే, మనం స",ben,ben_0555b9fcdf6ea925ac8f87a81b4ded17,0,0,0,0,0,0,0,0,0,0,0,0
সালে ভোটার আইডি কার্ড পেলাম এখন পর্যন্ত একটা চেয়ারম্যান মেম্বার এর ভোট ও দিতে পারি নাই আমি কি বাংলাদেশের সাধারণ নাগরিক,"నేను గతంలో ఓటర్ ఐడీ కార్డును పొందాను, కానీ ఇప్పటివరకు నేను ఒక ఛైర్మన్ లేదా సభ్యుడికి ఓటు వేయలేకపోయాను. నేను ఇప్పుడు బంగ్లాదేశ్ యొక్క సాధారణ పౌరుడిని.",ben,ben_b1ca1e8c645ea552507d32e0fadef981,0,0,0,0,0,0,0,0,0,0,0,0
আমি ব্যক্তিগত ভাবে তাদের পরিবার টা কে পছন্দ করি না শেখ তন্ময় এর অসাধারণ প্রতি তার আলাদা একটা মায়া আছে সে,"నేను వ్యక్తిగతంగా వారి కుటుంబానికి ఇష్టం లేదు. అయితే, శేఖ తన్మోయ యొక్క అద్భుతమైన ప్రతిభ నాకు చాలా నచ్చుతుంది.",ben,ben_76e156c3aca6a06d341fd8dc3dec0440,0,0,0,0,0,0,0,0,0,0,0,0
আপনার ধর্ম আপনার কর্ম আপনার বর্তমান কর্ম নির্ধারণ করবে আপনার আখিরাত কেমন হবে আপনি কি অর্জন করলেন কি অর্জন করবেন সেটা আপনার একান্ত ব্যক্তিগত বিষয়ে আপনার বিশ্বাস আপনার ব্যক্তিগত বিষয়,"మీ మతం, మీ ప్రవర్తన, మరియు మీ ప్రస్తుత చర్యలు మీ జీవితం యొక్క ముగింపును ఎలా ప్రభావితం చేస్తాయో, మీరు ఏమి సాధించారో లేదా సాధించాలనుకుంటున్నారో అనేది మీ వ్యక్తిగత నమ్మకాలపై ఆధారపడి ఉంటుంది.",ben,ben_62b8ed9c6100302274fa1efa2fcd0932,0,0,0,0,0,0,0,0,0,0,0,0
সুমন ভাই জানিনা মন্তব্য আপনার চোখে পরে কিনাআমি চট্টগ্রাম থেকে বলছি আপনার ওপরে ভিত্তি কর মানুষের অনেক আশাপ্রতিটা ঘরে একটা করে সুমন হউক অনেক অনেক শুভকামনা,"సుమన్ బాబా, నాకు తెలియదు మీ అభిప్రాయం ఎలా ఉంటుందో. నేను చকরিয়া నుండి మాట్లాడుతున్నాను. మీపై ఆధారపడి, ప్రతి ఇంటిలో ఒకరు సుమన్ అవుతారు అని కోరుకుంటున్నాను.",ben,ben_0974f4fb453ee894a4f6800231512763,0,0,0,0,0,0,0,0,0,0,0,0
আমার বুঝে আসে না যারা রাসুলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লামকে ফিরানসে কার্টুন করার প্রতিবাদে রাজ পথের মানববন্ধন মিছিল করাকে না জায়েজ বলতঅথচ আজ তারই দেখি মানববন্ধন করে এখন কিভাবে জায়েজ হবে আমি নিজে তখন জামাতে ছিলাম প্রতিবাদ মিছিলে আামাকে যেতে দেওয়া হয় নিওটা নাকি না জায়েজ মুনাফেকি,"నాకు అర్థం కాలేదు, ముహమ్మద్ ప్రవక్త (సల్లాలలాహు আলাইహి వసలామ్) గురించి ఫ్రాన్స్‌లో కార్టూన్లను రూపొందించడాన్ని వ్యతిరేకిస్తూ వీధుల్లో నిరసన ప్రదర్శనలు నిర్వహించడం సరైనదేనా అని వాదించేవారు, కానీ ఇప్పుడు ఆ వ్యక్తులు కూడా నిరసన ప్ర",ben,ben_c4fb02a7149e649e7c7e93d5a0d01eae,1,0,0,1,0,0,0,0,0,1,0,1
বাংলাদেশে কি ভালো শিক্ষামন্ত্রী পাবো না যে একটু হলেও মুসলমানকে ভালোবাসবে তার বক্তব্য যদি হয় নূরানী এবং কওমি মাদ্রাসার কারণে শিক্ষার্থী কমে যাচ্ছে সেগুলোকে নিয়ন্ত্রণ করতে হবে তাহলে এখানে নিয়ন্ত্রণ বলতে কি উদ্দেশ্য বুঝানো হয়েছে অবশ্যই নূরানী এবং কওমি মাদ্রাসার ছাত্রছাত্রীদের বাধাগ্রস্ত করা হবে কোন কৌশলে বুঝানো হয়েছে এটাও এক ধরনের ষড়যন্ত্রমূল বক্তব্য বলে ধারণা করা যায়,"""బంగladeshలో, ముస్లింలను కొంతవరకు ప్రోత్సహించే మంచి మంత్రి దొరకడం కష్టమని, నూరాని మరియు కౌమి మదర్సుల కారణంగా విద్యార్థుల సంఖ్య తగ్గుతోందని, వీటిని నియంత్రించాల్సిన అవసరం ఉందని చెప్పడం, ఇక్కడ 'నియంత్రించడం' అంటే ఏమిటో స్పష్టంగా తెలియజే",ben,ben_7a2ad2593ec2feb401271908bfe03188,1,0,0,1,0,0,0,1,0,0,0,1
মূল কথা কেউ বলে না সবাই ভয় পায় ইসরায়েল কেন ফিলিস্তিন দখল করতে চায় এটা সব মুসলমান জানে তবে মিডিয়া সেই কারণ কখনো বলবে না,"ప్రధానంగా, ఎవరూ చెప్పడం లేదు, కానీ ఇజ్రాయెల్ ఫিলিస్తీలను ఎందుకు ఆక్రమించాలనుకుంటుందో అందరికీ తెలుసు. అయితే, మీడియా ఆ కారణాన్ని ఎప్పుడూ చెప్పదు.",ben,ben_0f0f968355bb135132da66fb930da72a,1,0,0,1,0,0,1,0,0,0,0,1
প্রথমতমিডিয়ার এই হস্তক্ষেপ ভাল দেখছিনা ইজতেমায়এটা দূর থেকে দেখে বলার জিনিস নাদ্বীনের হাওয়াহেদায়েতের বাতাসকিভাবে সাধারনের মাঝে পৌছে যায় তার জন্য একটা মেহনতএত মানুষ যখন একত্র হয় আল্লাহর দ্বীনকে জিন্দা করার নিয়তে তখন অবশ্যই আল্লাহ রহমতের ছায়া দেনকিন্তু দূর থেকে দেখে জিকির আজগার মনে হবেজিকিরই হচ্ছে তবে আল্লাহর আলোচনাও যে জিকির এটা আগে বুঝতে হবে শেষে এটা আবার বলবমিডিয়া এগুলা বেশি করে কি বোঝাতে চাইছে আমার সন্দেহ থেকেই যায়,"మొదటగా, మీడియా యొక్క ఈ జోక్యం నాకు సరిగ్గా అర్థం కావడం లేదు. ఇజ్టేమాలో, దూరం నుండి చూస్తే, సాధారణ ప్రజలకు ఎలా చేరవేయబడుతుందో నాకు తెలియదు. ఎంతో మంది ఇస్లాంను బలోపేతం చేయడానికి కలిసి వచ్చినప్పుడు, ఖచ్చితంగా దేవుడు తన దయను ప్రసాది",ben,ben_885df566c7b53ed65a58a1d7c9e84250,1,0,0,1,0,0,0,0,0,0,1,1
কাদের সাহেব আপনি কি করে চিন্তা করেন যে জনগণ আপনাদেরকে সমর্থন করবে আর আওয়ামি লিগ হাত গুটিয়ে বসে থাকবে,"మీరు ఏమి ఆలోచిస్తున్నారు? ప్రజలు మిమ్మల్ని మద్దతు ఇస్తారు, మరియు ఆమ్మిలీగ్ నిష్క్రియంగా ఉండిపోతుంది అని మీరు అనుకుంటున్నారా?",ben,ben_27603196567a71df86c0872ce3a8ed4f,1,1,0,0,0,0,0,0,0,0,0,1
যার ইমানই নাই সে আবার ফুল হয় কিভাবে বিশ্ব জংগীবাদীদের সৃষ্টি নবী সাঃ বিদ্বেষী সাহাবা রাঃ বিদ্বেষী তাকে যতই ফুল বানানোর চেষ্টা করা হবে দুগ্ধ ছড়াবে,"వారికి విశ్వాసం లేని వారు మళ్లీ ఎలా పుడతారు? ప్రపంచంలోని దురాక్రమణదారులు, నబీ సా (స) యొక్క అనుచరులను, ఇతర అనుచరులను ద్వేషించే వారు వారిని ఎలా మోసం చేయడానికి ప్రయత్నిస్తారు?",ben,ben_f1cbc4051ee28baf6f5e3f86bd0b1c8a,1,0,0,1,0,0,1,1,1,1,0,0
কস কি আমরা সাধারণ মানুষহলে ৷ তোরা কি অসাধারন মানুষ ৷ জয়ী হওয়ার আগেই আমাদের আলাদা করে দিলি,"మేము సాధారణ వ్యక్తులు అయితే, మీరు ప్రత్యేకమైన వ్యక్తులలా ఉన్నారు. మీరు గెలుపొందిన ముందే, మిమ్మల్ని ప్రత్యేకంగా గుర్తించారు.",ben,ben_256859c7a2e0f65d76f20cf1abe7d8b6,1,0,0,0,0,1,1,0,0,0,0,1
এ নাস্তিক কোন ধর্মে বিশ্বাসী না যদি ধর্মে বিশ্বাসী হত পবিত্র কুরআনকে অবহেলা করে কথা বলার সাহস করত না কোরআনে ঘোষণা করা হয়েছে আল্লাহর জমিনে আল্লাহর দ্বীন প্রতিষ্ঠা প্রত্যেক ইমানদারের দায়িত্ব,"ఈ అజ్ఞేయ వ్యక్తి ఏ మతంలోనూ విశ్వాసం కలిగి ఉండడు, ఒకవేళ విశ్వాసం కలిగి ఉంటే, ఖురాన్‌ను విస్మరించే ధైర్యం కలిగి ఉండడు. ఖురాన్ ప్రకారం, దేవుని భూమిపై దేవుని మతాన్ని స్థాపించడం ప్రతి విశ్వాసుల బాధ్యత.",ben,ben_f5823ad1edb82cb0cfbbbfeed5ce2eda,1,0,0,1,0,0,1,1,0,0,0,1
যার বলে ধর্ম যার যার উৎসব সবার তাদের এই কথা কোনো হিন্দু বলে সেকি গরুর গোস খাবে বা ঈদল ফিতর এবং ঈদুল আযহার নামাজ পড়বে আমাদের সাথে আর ধর্ম যার যার উৎসব সবার যদি কোনো মুসলিম বলে সেকি শুয়োরের গোস খাবে,"""ప్రతి ఒక్కరి ఆచారం వేరు, కాబట్టి ఒక వ్యక్తి ఏ పండుగను జరుపుకుంటాడు అనేది అతని వ్యక్తిగత నమ్మకంపై ఆధారపడి ఉంటుంది. ఒక వ్యక్తి హిందువు అయితే, అతను బ్రహ్మోత్సం లేదా ईद-ఉల్-ఫితర్ మరియు ईद-ఉల్-అజర్ వేడుకలను జరుపుకుంటాడు. అదేవిధంగా",ben,ben_08a7b9009f5b5956efe4c73e778e2c7c,1,0,0,1,0,0,1,0,0,0,0,1
ওবায়দুল কাদের হচ্ছে বাংলাদেশের মানুষের বিনোদন পাগলে কিনা বলে আর ছাগলে কিনা খায় কাউয়া আসলেই কাউয়া রয়ে গেলো কে কে একমত,"ఓবায়দুল কাদের, ప్రజలకు వినోదం అంటే ఎంత ముఖ్యమో, అంతేకాకుండా వారు పశువులను కూడా తింటారనే ఆరోపణలు ఉన్నాయి. ఒకవేళ ఇది నిజమైతే, ప్రజలు దీనికి ఎలా స్పందిస్తారో చూడాలి.",ben,ben_d7ec780695a1bd06f2d8eb385ba5b1f7,1,1,0,0,0,0,0,1,1,1,0,0
কথা কিন্তু সত্য তুমি যা দেশের টাকার দুর্নীতি করে বিদেশ পাঠাইছে সেটা আমরা বছর কামাই করতে পারবো না,"అయితే, మీరు దేశంలోని నిధులను దుర్వినియోగం చేసి, వాటిని విదేశాలకు పంపుతున్నారని చెప్పడం నిజం. మనం ఆ డబ్బును తిరిగి పొందలేము.",ben,ben_4b31d4dae9117e7191c9125bc6c69d02,1,1,0,0,0,0,0,1,0,0,0,1
এত বড় মিথ্যাচার আল্লাহ আপনাদের কখনও ক্ষমা করবে না একজন সৎ প্রফেসর এর কাছে থেকে জাতি এতবড় মিথ্যাচার জাতী আশা করে নাফখরুল সাহেব,ఇంత పెద్ద అబద్ధాలను దేవుడు మిమ్మల్ని ఎప్పటికీ క్షమించడు. నిజాయితీగల ప్రొఫెసర్ నుండి ఇలాంటి అబద్ధాలను ఆశించకూడదు. నఫఖర్ సుల్తాన్,ben,ben_98aebbe3898d9bb0c3df1ac3d044e07c,1,1,0,0,0,0,0,1,0,1,0,1
হিন্দু ধর্ম আসলেই কোন ধর্ম নয় তাদের প্রধান ধর্মগ্রন্থ রিসার্চ করলেই কোন হিন্দু আর হিন্দু থাকে না ভারতের ৬৫ কোটি হিন্দু যাকে ভগবানের মতোই মনে করতো সেই ডঃ শিবশক্তি ১৫২০ টা ভাষায় ডিগ্রী অর্জন করে শেষ পর্যন্ত মুসলমানদের ধর্মী ইসলাম ধর্ম গ্রহণ করেছেন আর একটা সত্যি কথা পৃথিবীর সকল ধর্ম গ্রন্থের মধ্যে একমাত্র আল কোরআন মুখস্থ আছে কোটি কোটি হাফেজের সকল ধর্ম গ্রন্থ নষ্ট হয়ে গেলেও আবারও আল কোরআন লেখা সম্ভব ইনশাআল্লাহ,"హిందూ మతం నిజంగానే ఒక మతం కాదు. దాని ప్రధాన గ్రంథాలను పరిశీలిస్తే, హిందువులు మరియు హిందువులు అనే తేడా ఉండదు. భారతదేశంలోని 65 కోట్లు మంది హిందువులను దేవునిలా భావించే డాక్టర్ శివశక్తి, 1520 భాషలలో డిగ్రీ పొంది, చివరికి ఇస్లా",ben,ben_fe5cae72bb77e6517a06af9811308407,1,0,0,1,0,0,0,1,0,1,0,1
