text,translated_te,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
আমার বুঝে আসে না যারা রাসুলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লামকে ফিরানসে কার্টুন করার প্রতিবাদে রাজ পথের মানববন্ধন মিছিল করাকে না জায়েজ বলতঅথচ আজ তারই দেখি মানববন্ধন করে এখন কিভাবে জায়েজ হবে আমি নিজে তখন জামাতে ছিলাম প্রতিবাদ মিছিলে আামাকে যেতে দেওয়া হয় নিওটা নাকি না জায়েজ মুনাফেকি,"నాకు అర్థం కాలేదు, ముహమ్మద్ ప్రవక్త (సల్లాలలాహు আলাইహి వసలామ్) గురించి ఫ్రాన్స్‌లో కార్టూన్లను రూపొందించడాన్ని వ్యతిరేకిస్తూ వీధుల్లో నిరసన ప్రదర్శనలు నిర్వహించడం సరైనదేనా అని వాదించేవారు, కానీ ఇప్పుడు ఆ వ్యక్తులు కూడా నిరసన ప్ర",ben,ben_c4fb02a7149e649e7c7e93d5a0d01eae,1,0,0,1,0,0,0,0,0,1,0,1
বাংলাদেশে কি ভালো শিক্ষামন্ত্রী পাবো না যে একটু হলেও মুসলমানকে ভালোবাসবে তার বক্তব্য যদি হয় নূরানী এবং কওমি মাদ্রাসার কারণে শিক্ষার্থী কমে যাচ্ছে সেগুলোকে নিয়ন্ত্রণ করতে হবে তাহলে এখানে নিয়ন্ত্রণ বলতে কি উদ্দেশ্য বুঝানো হয়েছে অবশ্যই নূরানী এবং কওমি মাদ্রাসার ছাত্রছাত্রীদের বাধাগ্রস্ত করা হবে কোন কৌশলে বুঝানো হয়েছে এটাও এক ধরনের ষড়যন্ত্রমূল বক্তব্য বলে ধারণা করা যায়,"""బంగladeshలో, ముస్లింలను కొంతవరకు ప్రోత్సహించే మంచి మంత్రి దొరకడం కష్టమని, నూరాని మరియు కౌమి మదర్సుల కారణంగా విద్యార్థుల సంఖ్య తగ్గుతోందని, వీటిని నియంత్రించాల్సిన అవసరం ఉందని చెప్పడం, ఇక్కడ 'నియంత్రించడం' అంటే ఏమిటో స్పష్టంగా తెలియజే",ben,ben_7a2ad2593ec2feb401271908bfe03188,1,0,0,1,0,0,0,1,0,0,0,1
মূল কথা কেউ বলে না সবাই ভয় পায় ইসরায়েল কেন ফিলিস্তিন দখল করতে চায় এটা সব মুসলমান জানে তবে মিডিয়া সেই কারণ কখনো বলবে না,"ప్రధానంగా, ఎవరూ చెప్పడం లేదు, కానీ ఇజ్రాయెల్ ఫিলিస్తీలను ఎందుకు ఆక్రమించాలనుకుంటుందో అందరికీ తెలుసు. అయితే, మీడియా ఆ కారణాన్ని ఎప్పుడూ చెప్పదు.",ben,ben_0f0f968355bb135132da66fb930da72a,1,0,0,1,0,0,1,0,0,0,0,1
প্রথমতমিডিয়ার এই হস্তক্ষেপ ভাল দেখছিনা ইজতেমায়এটা দূর থেকে দেখে বলার জিনিস নাদ্বীনের হাওয়াহেদায়েতের বাতাসকিভাবে সাধারনের মাঝে পৌছে যায় তার জন্য একটা মেহনতএত মানুষ যখন একত্র হয় আল্লাহর দ্বীনকে জিন্দা করার নিয়তে তখন অবশ্যই আল্লাহ রহমতের ছায়া দেনকিন্তু দূর থেকে দেখে জিকির আজগার মনে হবেজিকিরই হচ্ছে তবে আল্লাহর আলোচনাও যে জিকির এটা আগে বুঝতে হবে শেষে এটা আবার বলবমিডিয়া এগুলা বেশি করে কি বোঝাতে চাইছে আমার সন্দেহ থেকেই যায়,"మొదటగా, మీడియా యొక్క ఈ జోక్యం నాకు సరిగ్గా అర్థం కావడం లేదు. ఇజ్టేమాలో, దూరం నుండి చూస్తే, సాధారణ ప్రజలకు ఎలా చేరవేయబడుతుందో నాకు తెలియదు. ఎంతో మంది ఇస్లాంను బలోపేతం చేయడానికి కలిసి వచ్చినప్పుడు, ఖచ్చితంగా దేవుడు తన దయను ప్రసాది",ben,ben_885df566c7b53ed65a58a1d7c9e84250,1,0,0,1,0,0,0,0,0,0,1,1
কাদের সাহেব আপনি কি করে চিন্তা করেন যে জনগণ আপনাদেরকে সমর্থন করবে আর আওয়ামি লিগ হাত গুটিয়ে বসে থাকবে,"మీరు ఏమి ఆలోచిస్తున్నారు? ప్రజలు మిమ్మల్ని మద్దతు ఇస్తారు, మరియు ఆమ్మిలీగ్ నిష్క్రియంగా ఉండిపోతుంది అని మీరు అనుకుంటున్నారా?",ben,ben_27603196567a71df86c0872ce3a8ed4f,1,1,0,0,0,0,0,0,0,0,0,1
যার ইমানই নাই সে আবার ফুল হয় কিভাবে বিশ্ব জংগীবাদীদের সৃষ্টি নবী সাঃ বিদ্বেষী সাহাবা রাঃ বিদ্বেষী তাকে যতই ফুল বানানোর চেষ্টা করা হবে দুগ্ধ ছড়াবে,"వారికి విశ్వాసం లేని వారు మళ్లీ ఎలా పుడతారు? ప్రపంచంలోని దురాక్రమణదారులు, నబీ సా (స) యొక్క అనుచరులను, ఇతర అనుచరులను ద్వేషించే వారు వారిని ఎలా మోసం చేయడానికి ప్రయత్నిస్తారు?",ben,ben_f1cbc4051ee28baf6f5e3f86bd0b1c8a,1,0,0,1,0,0,1,1,1,1,0,0
কস কি আমরা সাধারণ মানুষহলে ৷ তোরা কি অসাধারন মানুষ ৷ জয়ী হওয়ার আগেই আমাদের আলাদা করে দিলি,"మేము సాధారణ వ్యక్తులు అయితే, మీరు ప్రత్యేకమైన వ్యక్తులలా ఉన్నారు. మీరు గెలుపొందిన ముందే, మిమ్మల్ని ప్రత్యేకంగా గుర్తించారు.",ben,ben_256859c7a2e0f65d76f20cf1abe7d8b6,1,0,0,0,0,1,1,0,0,0,0,1
এ নাস্তিক কোন ধর্মে বিশ্বাসী না যদি ধর্মে বিশ্বাসী হত পবিত্র কুরআনকে অবহেলা করে কথা বলার সাহস করত না কোরআনে ঘোষণা করা হয়েছে আল্লাহর জমিনে আল্লাহর দ্বীন প্রতিষ্ঠা প্রত্যেক ইমানদারের দায়িত্ব,"ఈ అజ్ఞేయ వ్యక్తి ఏ మతంలోనూ విశ్వాసం కలిగి ఉండడు, ఒకవేళ విశ్వాసం కలిగి ఉంటే, ఖురాన్‌ను విస్మరించే ధైర్యం కలిగి ఉండడు. ఖురాన్ ప్రకారం, దేవుని భూమిపై దేవుని మతాన్ని స్థాపించడం ప్రతి విశ్వాసుల బాధ్యత.",ben,ben_f5823ad1edb82cb0cfbbbfeed5ce2eda,1,0,0,1,0,0,1,1,0,0,0,1
যার বলে ধর্ম যার যার উৎসব সবার তাদের এই কথা কোনো হিন্দু বলে সেকি গরুর গোস খাবে বা ঈদল ফিতর এবং ঈদুল আযহার নামাজ পড়বে আমাদের সাথে আর ধর্ম যার যার উৎসব সবার যদি কোনো মুসলিম বলে সেকি শুয়োরের গোস খাবে,"""ప్రతి ఒక్కరి ఆచారం వేరు, కాబట్టి ఒక వ్యక్తి ఏ పండుగను జరుపుకుంటాడు అనేది అతని వ్యక్తిగత నమ్మకంపై ఆధారపడి ఉంటుంది. ఒక వ్యక్తి హిందువు అయితే, అతను బ్రహ్మోత్సం లేదా ईद-ఉల్-ఫితర్ మరియు ईद-ఉల్-అజర్ వేడుకలను జరుపుకుంటాడు. అదేవిధంగా",ben,ben_08a7b9009f5b5956efe4c73e778e2c7c,1,0,0,1,0,0,1,0,0,0,0,1
ওবায়দুল কাদের হচ্ছে বাংলাদেশের মানুষের বিনোদন পাগলে কিনা বলে আর ছাগলে কিনা খায় কাউয়া আসলেই কাউয়া রয়ে গেলো কে কে একমত,"ఓবায়দুল কাদের, ప్రజలకు వినోదం అంటే ఎంత ముఖ్యమో, అంతేకాకుండా వారు పశువులను కూడా తింటారనే ఆరోపణలు ఉన్నాయి. ఒకవేళ ఇది నిజమైతే, ప్రజలు దీనికి ఎలా స్పందిస్తారో చూడాలి.",ben,ben_d7ec780695a1bd06f2d8eb385ba5b1f7,1,1,0,0,0,0,0,1,1,1,0,0
কথা কিন্তু সত্য তুমি যা দেশের টাকার দুর্নীতি করে বিদেশ পাঠাইছে সেটা আমরা বছর কামাই করতে পারবো না,"అయితే, మీరు దేశంలోని నిధులను దుర్వినియోగం చేసి, వాటిని విదేశాలకు పంపుతున్నారని చెప్పడం నిజం. మనం ఆ డబ్బును తిరిగి పొందలేము.",ben,ben_4b31d4dae9117e7191c9125bc6c69d02,1,1,0,0,0,0,0,1,0,0,0,1
এত বড় মিথ্যাচার আল্লাহ আপনাদের কখনও ক্ষমা করবে না একজন সৎ প্রফেসর এর কাছে থেকে জাতি এতবড় মিথ্যাচার জাতী আশা করে নাফখরুল সাহেব,ఇంత పెద్ద అబద్ధాలను దేవుడు మిమ్మల్ని ఎప్పటికీ క్షమించడు. నిజాయితీగల ప్రొఫెసర్ నుండి ఇలాంటి అబద్ధాలను ఆశించకూడదు. నఫఖర్ సుల్తాన్,ben,ben_98aebbe3898d9bb0c3df1ac3d044e07c,1,1,0,0,0,0,0,1,0,1,0,1
হিন্দু ধর্ম আসলেই কোন ধর্ম নয় তাদের প্রধান ধর্মগ্রন্থ রিসার্চ করলেই কোন হিন্দু আর হিন্দু থাকে না ভারতের ৬৫ কোটি হিন্দু যাকে ভগবানের মতোই মনে করতো সেই ডঃ শিবশক্তি ১৫২০ টা ভাষায় ডিগ্রী অর্জন করে শেষ পর্যন্ত মুসলমানদের ধর্মী ইসলাম ধর্ম গ্রহণ করেছেন আর একটা সত্যি কথা পৃথিবীর সকল ধর্ম গ্রন্থের মধ্যে একমাত্র আল কোরআন মুখস্থ আছে কোটি কোটি হাফেজের সকল ধর্ম গ্রন্থ নষ্ট হয়ে গেলেও আবারও আল কোরআন লেখা সম্ভব ইনশাআল্লাহ,"హిందూ మతం నిజంగానే ఒక మతం కాదు. దాని ప్రధాన గ్రంథాలను పరిశీలిస్తే, హిందువులు మరియు హిందువులు అనే తేడా ఉండదు. భారతదేశంలోని 65 కోట్లు మంది హిందువులను దేవునిలా భావించే డాక్టర్ శివశక్తి, 1520 భాషలలో డిగ్రీ పొంది, చివరికి ఇస్లా",ben,ben_fe5cae72bb77e6517a06af9811308407,1,0,0,1,0,0,0,1,0,1,0,1
নতুন কারিকুলাম এর শিক্ষা ব্যবস্থা ভবিষ্যৎ জাতির নৈতিকতা ধ্বংসের প্রধান কারণ আসলে ক্ষমতা চিরকাল থাকে না প্রকৃতির কিছু নিয়ম থাকে একদিন না একদিন ঠিকই বুঝবেন এই শিক্ষা ব্যবস্থা মুসলিম কোন দেশের জন্য হতে পারে না এই শিক্ষা ব্যবস্থা মনুষত্ববোধ জাতি গঠন করতে পারবেনা,"కొత్త పాఠ్యాంశాల వ్యవస్థ, భవిష్యత్ తరాల నైతికతను నాశనం చేసే ప్రధాన కారణం. నిజానికి, అధికారం ఎప్పటికీ ఉండదు. ప్రకృతి కొన్ని నియమాలు ఉంటాయి. ఒకరోజు తప్పకుండా, ఈ విద్యారంగం ముస్లిం దేశాలకు అనుకూలంగా ఉండదు. ఈ విద్యారంగం మానవత్వాన్ని, సమాజాన్ని నిర్",ben,ben_1587798b0f4e1a32e7fee68462e1ec07,1,0,0,1,0,0,0,1,0,1,0,1
মূল্য কত আল্লার মাল আল্লাহ নিলে মানুষ কেন মূল্য দেবে আর দেবার কি ই বা ক্ষমতা রাখে কথা একটু হুসে বল মালবেশী পেটে পরেছে নাকি,"ధర ఎంత? దేవుడు ఇస్తే, ఎందుకు మనుషులు దాని కోసం డబ్బు చెల్లించాలి? వారికి ఆ డబ్బు చెల్లించే శక్తి కూడా ఉండదు. బహుశా, వారు ఎక్కువ డబ్బు సంపాదించడానికి ప్రయత్నిస్తున్నారేమో.",ben,ben_f7fd2e377027f45e3efa9b897d251030,1,0,0,1,0,0,0,1,0,1,0,0
কথা পরিষ্কার ফেসবুকের বাহবা কিংবা ট্রলের উপর ভিত্তি করে ইসলামি আন্দোলন রাজনীতি করে না তাঁরা তাঁদের লক্ষবস্তু ও নীতি আদর্শের উপর ভিত্তি করে পরিকল্পনা অনুযায়ী রাজনীতি করে,"వారు సాధారణంగా, ఫేస్‌బుక్ ప్రభావం లేదా ట్రోలింగ్‌ ఆధారంగా ఇస్లామిక్ ఉద్యమం రాజకీయాలు చేయరు. వారు తమ లక్ష్యాలు మరియు సూత్రాల ఆధారంగా ప్రణాళిక ప్రకారం రాజకీయాలు చేస్తారు.",ben,ben_efd63229e97bd70cd520ca43c63498da,1,1,0,1,0,0,0,0,0,0,0,1
আবূ বাক্রাহ্ রাঃ থেকে বর্ণিতঃ তা হল নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লামএর নিকট যখন এ খবর পৌছল যে পারস্যের লোকেরা কিস্রার মেয়েকে তাদের শাসক নিযুক্ত করেছে তখন তিনি বললেনঃ সে জাতি কখনো সফলকাম হবে না যারা তাদের শাসনভার কোন স্ত্রীলোকের হাতে অর্পণ করে ফুটনোটঃ ১৬০ মুসলমানরা যদি সফলতা পেতে চায় তবে তাদেরকে অবশ্যই নারী নেতৃত্ব পরিহার করতে হবে সহিহ বুখারী হাদিস নং ৭০৯৯ হাদিসের মান সহিহ হাদিস,"అబు బక్కర్ (ర.అ.) చెప్పిన కథ: ప్రవక్త (సల్లAllahu 'alaihi ওয়াসల్లం)కు, పర్షియన్ ప్రజలు కీసరను తమ పాలనలో నియమించారని తెలియగానే, ఆయన ఇలా అన్నారు: ""ఆ జాతి, తమ పాలనను స్త్రీల చేతుల్లోకి అప్పగించే వారు, ఎ",ben,ben_b52045d767dcd97778ca6109c93a7d02,1,0,0,0,1,0,1,0,0,0,0,1
আসলেই কি রোজার উদ্দেশ্য এমন যে বেপর্দা খোলামেলা হয়ে পুরো পরিবার নিয়ে হৈহুল্লোড় করে রেস্টুরেন্টে গিয়ে সেহেরি খেয়ে কোন রকমের নামাজ কালামের তোয়াক্কা না করে শুধু উপোষ করা,"వాస్తవానికి, రోజాయాత్ర యొక్క ఉద్దేశం ఏమిటంటే, పూర్తిగా బహిరంగంగా, కుటుంబంతో కలిసి రెస్టారెంట్‌కు వెళ్లి, షేరి తిని, ప్రార్థనలు లేకుండా కేవలం ఉపవాసం చేయడం.",ben,ben_03e3287f9d54365e9efaa765f1391691,1,0,0,1,0,0,1,0,0,0,1,1
Gibt sogar recht viele Ex-Muslime. Alles sehr vernünftige Leute.,వాస్తవానికి చాలా మంది ముస్లింల నుండి విడిపోయిన వ్యక్తులు ఉన్నారు. వీరంతా చాలా తెలివైన వ్యక్తులు.,deu,deu_5c26e3769fa46ce9284ba55a5db1cea8,1,0,0,1,0,0,0,0,0,0,0,1
"Das sind keine Extremisten sondern relativ normale Muslime. Extremisten ziehen in den Krieg und enthaupten ""Ungläubige"" (meistens andere Muslime). Normale haben Muslime nur eine strenge Sexualmoral sowie hier.","ఇది తీవ్రవాదులు కాదు, సాధారణ ముస్లింలు. తీవ్రవాదులు యుద్ధంలో పాల్గొంటారు మరియు ""విశ్వాసులను"" (చాలా సందర్భాలలో ఇతర ముస్లింలను) చంపేస్తారు. సాధారణ ముస్లింలు కూడా కఠినమైన లైంగిక నైతిక నియమాలు పాటిస్తారు.",deu,deu_7fbd93adf06e7036c06fd2d4e4fd50ab,1,1,0,1,0,0,1,1,1,0,0,1
"Nö, aber alle im Ausland lebenden nationalistischen Türken sind irgendwie nach Definition im Ausland lebende Türken und um die wird es vermutlich auch in Threads gehen wo sich einheimische Türken über ""Gurbetçi"" aufregen","లేదు, కానీ విదేశాలలో నివసించే జాతీయవాద టర్క్‌లు, నిర్వచనం ప్రకారం విదేశాలలో నివసించే టర్క్‌లే, మరియు ఈ అంశంపై స్థానిక టర్క్‌లు ""గర్బెట్సి"" గురించి అభిప్రాయాలను వ్యక్తం చేసే థ్రెడ్‌లలో చర్చలు జరగవచ్చు.",deu,deu_baaf292debc0c8b144e9bbad27164f0e,1,1,1,0,0,0,1,1,0,1,0,1
"Was laberst du?
 
 Aufgrund des extrem schnellen Bevölkerungswachstums in größtenteils muslimischen Ländern wird der Anteil der Muslime an der Weltbevölkerung bis 2050 um ca. 5 Prozentpunkte steigen, während der Anteil der Konfessionslosen an der Weltbevölkerung sinkt.
 
 @URL","మీరు ఏమి చేస్తున్నారు?

చాలా వరకు ముస్లిం దేశాలలో వేగవంతమైన జనాభా పెరుగుదల కారణంగా, 2050 నాటికి ప్రపంచ జనాభాలో ముస్లింల శాతం సుమారు 5 శాతం పాయింట్ల పెరుగుతుంది, అయితే మతపరంగా కాని వ్యక్తుల శాతం తగ్గుతుంది.
@URL",deu,deu_6c7235cb9c64cd65b8d2e88a1d09dcb2,1,1,1,1,0,0,1,0,0,1,0,1
"Kriegstreiber! Auch ihr, die Propagandapresse!!!","యుద్ధాన్ని ప్రేరేపించేవారు! అంతేకాకుండా, ప్రచారం చేసే మీడియా కూడా!",deu,deu_db31993b66196db649d0c5031ddc08b3,1,1,0,0,0,1,1,1,0,1,0,1
Steuerzahler und Juden,పన్ను చెల్లిస్తున్నవారు మరియు యూదులు,deu,deu_e1c991b613cfbd9f8b58591e03032c7b,1,0,1,1,0,0,1,0,1,0,0,0
Ja die Türken leiden sehr stark unter ihrem links grün versifften Erdogan. Muss man wissen. :D,"అవును, టర్కీ ప్రజలు ఎర్డోగన్ యొక్క ఎడమ వైపున ఉన్న ఆకుపచ్చ రంగుల పాలనలో తీవ్రంగా బాధపడుతున్నారు. ఇది తెలుసుకోవడం ముఖ్యం. :D",deu,deu_c11a90ff2783b27b686b87b2f7d45648,1,1,1,0,0,1,1,1,0,1,1,0
Die Klima Armee Fraktion wird kommen.,వాతావరణ దళ వర్గం రాబోతోంది.,deu,deu_00d194407ca9e342d3970b1119026f53,1,1,0,0,0,1,1,1,0,0,0,1
"Das klingt als wuerdest du hier ein Feminismus-Gotcha aus deiner Wahrnehmung ableiten wo objektiv keines ist. Ich hab noch nie jemandes ernsthaft behauten hoeren das speziell Frauen Kriegstreiber sind, eher das Gegenteil.","ఇది, మీరు ఇక్కడ ఒక స్త్రీవాద సిద్ధాంతాన్ని రూపొందిస్తున్నట్లు అనిపిస్తుంది, దీనిలో వాస్తవానికి ఎటువంటి ఆధారాలు లేవు. నేను ఎప్పుడూ ఎవరైనా ప్రత్యేకంగా మహిళలు యుద్ధానికి కారణమని చెప్పినట్లు వినలేదు, బదులుగా దీనికి వ్యతిరేకంగా విన్నాను.",deu,deu_81bb3b7698aee91f5a25309aec92705a,1,1,0,0,1,0,1,0,0,1,0,0
"Denk ich nicht, nein. Migration ist deren Kernthema.","నా అభిప్రాయం ప్రకారం, వలస అనేది వారి ప్రధాన అంశం.",deu,deu_c95ea243b5ba4bb4e51e13b0ae57b363,1,1,0,0,0,0,1,0,0,0,0,0
Find yourself a west bank settler gf,మీకు వెస్ట్ బ్యాంక్‌కు చెందిన అమ్మాయిని కనుగొనండి.,eng,eng_face0db614834c005d03b3f41a56a317,1,1,0,0,1,0,1,1,0,0,0,0
Fascist oligarchs now control the USA,ఫాసిస్ట్ ధనవంతులు ఇప్పుడు అమెరికాను నియంత్రిస్తున్నారు.,eng,eng_d64ce581999394ad8671158997d519e2,1,1,0,0,0,0,0,1,0,1,0,0
Someone end this lunatic before he starts ethnic cleansing,"ఎవరైనా ఈ పిచ్చి వ్యక్తిని ఆపాలి, అతను జాతిపరమైన శుద్ధి కార్యక్రమాన్ని ప్రారంభించే ముందు.",eng,eng_e1b7927c76815ff63828dbe2843ad332,1,1,1,0,0,0,1,1,0,1,0,0
Hi apartheid state the one and only remaining 1.,"హాయ్, అపార్ట్‌హెయిడ్ రాజ్యం, ఇది ప్రస్తుతం ఉన్న ఏకైక రాజ్యం.",eng,eng_8193da8f814c3173b58f21e0c22b12bd,1,1,1,0,0,0,0,1,0,0,1,0
"When I hear things like ""stooge for Russian aggression"" I know who the real stooge is","""రష్యా దాడికి సహకరిస్తున్న వ్యక్తి"" వంటి విషయాలు విన్నప్పుడు, ఎవరు నిజంగా సహకరిస్తున్నారో నాకు తెలుస్తుంది.",eng,eng_8e68a7bcc441b11607d43610e9aaa674,1,1,0,0,0,1,1,1,0,0,1,1
Its no coincidence that today because of these progressive policies we now have an open air drug market. Hmmmm,"ఈ ఆధునిక విధానాల కారణంగానే, ఈ రోజు మనం బహిరంగంగా డ్రగ్ మార్కెట్‌ను కలిగి ఉన్నాము. ఇది యాదృచ్ఛికం కాదు.",eng,eng_7e428780a79c97c3962859653d5ab4fc,1,1,0,0,0,0,0,1,0,0,0,1
Go to democrats and sabotage democrats.,"ప్రజావాదుల వైపు వెళ్లి, వారిని దెబ్బతీయండి.",eng,eng_e5f7bbe9819815896375867f1e16b30c,1,1,0,0,0,0,0,0,0,1,0,0
"Does that cover lies about a stolen election, Gym?","గైమ్, దొంగిలించబడిన ఎన్నికల గురించి అబద్ధాలు చెప్పడం దీనిలో కవర్ అవుతుందా?",eng,eng_e4ad4dcd3f8aecd9aa574e5d8c931b6c,1,1,0,0,0,0,0,0,0,0,1,1
Apparently the Hamas attack was the weathers fault.,"అప్పట్లో, హమాస్ దాడి వాతావరణ పరిస్థితుల వల్ల జరిగిందని భావించారు.",eng,eng_35a04a21a59c23f14cd1487562c8601f,1,1,1,0,0,0,0,1,1,0,0,1
November 3rd was a stolen election,నవంబర్ 3వ తేదీన జరిగిన ఎన్నికలు దొంగిలించబడ్డాయి.,eng,eng_02fdc210c75b2ec254444748b32406bb,1,1,0,0,0,0,0,0,0,1,0,1
Defund the Castleton Police Department DefundThePolice,కాస్టల్టన్ పోలీసు విభాగానికి నిధులు తగ్గించండి.,eng,eng_adb1551027c430f08591f12c666f682a,1,1,0,0,0,0,0,0,0,1,0,0
"aypordios que llorera. martinez ares, feminista del ano ya.","""ఆమె కన్నీళ్లు ప్రవహిస్తున్నాయి. మర్టినెజ్ అరేస్, ఒక మహిళావాది.""",spa,spa_c8d2df5438d47454f111ebb59b913dbd,1,1,0,0,1,0,0,1,0,0,1,0
"desde que me entere que ese termino ""toxico algo"" es una invencion evangelica ya no lo uso, cuidado que esconde discursos de odio","నేను ""టాక్సిక్"" అనే పదం ఒక క్రీస్తు సంబంధిత ఆవిష్కరణ అని తెలుసుకున్నప్పటి నుండి, నేను దానిని ఉపయోగించడం లేదు. ఇది ద్వేషపూరిత ప్రసంగాలను దాచిపెడుతుందని గుర్తుంచుకోండి.",spa,spa_10cbf64b67679865c1613ea9ae6b7aa6,1,1,0,1,0,0,1,1,0,0,0,0
cualquier vago se hace pastor evangelico,"ఎవరైనా అనాసక్తిగా ఉంటే, వారు ఇవాంజెలిక్ పాస్టర్ అవుతారు.",spa,spa_09640b2f43e678e7bc6b0235e3630ecf,1,0,0,1,0,1,1,1,0,0,0,0
la reina de la corrupcion!,అక్రమతకు రాణి!,spa,spa_485e691e2c03ff591abc2d15b6ec53a0,1,1,0,0,0,1,0,1,0,0,0,1
a vos? trolita evangelica,మీకు తెలుసా? ఎవాంజెలిక్ ట్రోలిటా,spa,spa_4f3bd04235b739571ffd89d201ea23ab,1,0,0,1,0,0,0,1,0,0,0,0
"argentino y judio, bastante castigo de dios tienes tu ya.","అర్జెంటీనాకు చెందిన యూదు, మీరు ఇప్పటికే దేవుని శిక్షను అనుభవిస్తున్నారు.",spa,spa_c93249fc5ffeec389d061df56ad065f5,1,1,1,1,0,0,1,1,0,0,0,0
