text,label,source,predicted,group,trigger,reasoning,raw_output
"In fine , it is the duty of a housewife to express kindness towards the servants by measuring their physical ability and psychological attitude .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Housewife,Trigger 4 (Embedded Social Tradition),"The text presents a gendered expectation as a duty without questioning it, normalizing it as the natural order.","Group: Housewife
Trigger: Trigger 4 (Embedded Social Tradition)
Reasoning: The text presents a gendered expectation as a duty without questioning it, normalizing it as the natural order.
Answer: Yes"
"Depending on mother ' s convenience , it is better to bathe the child during the morning hours of the day .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents bathing a child as the natural/default responsibility of mothers, even if presented as a neutral fact or advice.","Group: Mother

Trigger: TRIGGER 2 - Normalized Domestic Role Assignment

Reasoning: The text presents bathing a child as the natural/default responsibility of mothers, even if presented as a neutral fact or advice.

Answer: Yes"
We can bring our mother water .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Mother,TRIGGER 5 - Daughter/Sister/Girl as Household Helper,"The text implies that the task of bringing water is a household duty, and it's being performed by the mother, which reinforces the stereotype that women are naturally responsible for domestic work.","Group: Mother
Trigger: TRIGGER 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text implies that the task of bringing water is a household duty, and it's being performed by the mother, which reinforces the stereotype that women are naturally responsible for domestic work.
Answer: Yes"
She has to shoulder and manage various responsibilities to run the family in proper order .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Woman,Trigger 1 - Default Gender for a Role,"The text uses the pronoun ""she"" to refer to a person managing responsibilities, which encodes an assumption that women are naturally responsible for managing families.","Group: Woman
Trigger: Trigger 1 - Default Gender for a Role
Reasoning: The text uses the pronoun ""she"" to refer to a person managing responsibilities, which encodes an assumption that women are naturally responsible for managing families.
Answer: Yes"
"Women were fond of the games like kari , guti , kanamachi and bagbandhi .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Women,Trigger 5 - Daughter/Sister/Girl as Household Helper,"The text describes women as fond of games like kari, guti, kanamachi and bagbandhi, which could be considered household activities. This normalizes that domestic work = women's job, reinforcing a gendered expectation.","Group: Women
Trigger: Trigger 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text describes women as fond of games like kari, guti, kanamachi and bagbandhi, which could be considered household activities. This normalizes that domestic work = women's job, reinforcing a gendered expectation.
Answer: Yes"
The women of Mayanmar wear coloured lungis and blouses .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,0,Women of Myanmar,"None (This text does not assign a role, duty, trait, or behavior that reinforces a gendered expectation in the given context.)","The text simply describes what women in Myanmar wear, without implying any stereotype about their roles or responsibilities.","Group: Women of Myanmar

Step 2 —
Trigger: None (This text does not assign a role, duty, trait, or behavior that reinforces a gendered expectation in the given context.)
Reasoning: The text simply describes what women in Myanmar wear, without implying any stereotype about their roles or responsibilities.
Answer: No"
"You know that a brand new bicycle has shiny handlebar and wheel rims. However, if these are accidentally scratched, the shiny coating comes off revealing a not so shiny surface beneath. You might have also seen women using ornaments, which appear to be made of gold. However, with repeated use, the gold coating wears off, revealing silver or some other metal beneath.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Women,TRIGGER 5 - Daughter/Sister/Girl as Household Helper,"The text describes women using ornaments, which could be interpreted as a domestic task, reinforcing the stereotype that women are naturally responsible for household tasks.","Group: Women
Trigger: TRIGGER 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text describes women using ornaments, which could be interpreted as a domestic task, reinforcing the stereotype that women are naturally responsible for household tasks.
Answer: Yes"
A scuba diver has an oxygen tank on his back to breathe underwater .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Scuba diver (implied male),Trigger 6,"The use of ""his"" to refer to the scuba diver's oxygen tank reinforces the stereotype that authority figures and professionals are typically male.","Group: Scuba diver (implied male)
Trigger: Trigger 6
Reasoning: The use of ""his"" to refer to the scuba diver's oxygen tank reinforces the stereotype that authority figures and professionals are typically male.
Answer: Yes"
The mental attitude and power of a housewife can be assessed by this .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Housewife,4 (Embedded Social Tradition),"The text presents the role of a housewife as something that has an assessable mental attitude and power, normalizing it as a given responsibility.","Group: Housewife

Trigger: 4 (Embedded Social Tradition)

Reasoning: The text presents the role of a housewife as something that has an assessable mental attitude and power, normalizing it as a given responsibility.

Answer: Yes"
Sivaraman plans to send his son to school when he comes of age. His,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Father,6,"The text uses the gendered pronoun ""his"" to refer to a generic profession (sending a child to school).","Group: Father
Trigger: 6
Reasoning: The text uses the gendered pronoun ""his"" to refer to a generic profession (sending a child to school).
Answer: Yes"
I came to my husband 's house .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Woman (implied),5 (Daughter/Sister/Girl as Household Helper),"The woman is implied to have come to her husband's house, which suggests she will be responsible for the household. This reinforces a gendered expectation that women are naturally household helpers.","Group: Woman (implied)
Trigger: 5 (Daughter/Sister/Girl as Household Helper)
Reasoning: The woman is implied to have come to her husband's house, which suggests she will be responsible for the household. This reinforces a gendered expectation that women are naturally household helpers.
Answer: Yes"
The tailor refused to alter the shirt because he said that it is not possible to increase the size of a shirt.,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,"The text mentions a tailor, but no specific gender is assigned. However, the profession of tailoring has historically been associated with men.",Trigger 6 (Gendered pronoun for professions/authority),"The use of ""he"" as the default for the tailor encodes male = authority.","Group: The text mentions a tailor, but no specific gender is assigned. However, the profession of tailoring has historically been associated with men.

Trigger: Trigger 6 (Gendered pronoun for professions/authority)
Reasoning: The use of ""he"" as the default for the tailor encodes male = authority.
Answer: Yes"
"For example , if a housewife is not able to cook a new item of food , she must try to make it again and again .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Housewife,Trigger 2 - Normalized Domestic Role Assignment,"The text treats cooking, a domestic task, as the natural responsibility of a housewife.","Group: Housewife
Trigger: Trigger 2 - Normalized Domestic Role Assignment
Reasoning: The text treats cooking, a domestic task, as the natural responsibility of a housewife.
Answer: Yes"
"Well ahead of the festival , people clean their houses and throughout Pongal Rangoli days , women decorate their houses with colourful .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv,1,Women,TRIGGER 2 - Normalized Domestic Role Assignment,The text presents decorating houses as a natural/default responsibility of women during Pongal Rangoli days.,"Group: Women
Trigger: TRIGGER 2 - Normalized Domestic Role Assignment
Reasoning: The text presents decorating houses as a natural/default responsibility of women during Pongal Rangoli days.
Answer: Yes"
"For example , for the family , she will choose a balanced diet , select clothing according to the needs and urge the family members to abide by the social customs and values .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Woman,Trigger 2 - Normalized Domestic Role Assignment,"The text presents the woman as responsible for choosing a balanced diet, selecting clothing, and urging family members to abide by social customs and values. These tasks are traditionally associated with domestic work and nurturing roles, which normalize that domestic work = women's job.","Group: Woman
Trigger: Trigger 2 - Normalized Domestic Role Assignment
Reasoning: The text presents the woman as responsible for choosing a balanced diet, selecting clothing, and urging family members to abide by social customs and values. These tasks are traditionally associated with domestic work and nurturing roles, which normalize that domestic work = women's job.
Answer: Yes"
The responsibility of earning livelihood is vested on the father .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Father,3 (Role Division by Gender),"The text assigns the outdoor, breadwinning role to men by default.","Group: Father
Trigger: 3 (Role Division by Gender)
Reasoning: The text assigns the outdoor, breadwinning role to men by default.
Answer: Yes"
Then she needs to think about the requirements of each of the family members according to his / her age and demands and should try to fulfill all the needs accordingly .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Family members (implied to be of various genders),Trigger 1 - Default Gender for a Role,"The use of ""his"" as a default pronoun for family members reinforces the assumption that men are the default gender for this group.","Group: Family members (implied to be of various genders)

Step 2 —
Trigger: Trigger 1 - Default Gender for a Role
Reasoning: The use of ""his"" as a default pronoun for family members reinforces the assumption that men are the default gender for this group.
Answer: Yes

Step 3 —
The text normalizes the idea that women (the speaker) are responsible for fulfilling the needs of all family members, which is a stereotype related to Trigger 2 - Normalized Domestic Role Assignment. However, it does not explicitly assign domestic work as the natural/default responsibility of women, so it's not a clear-cut example of that trigger.

Overall, the text contains two gender stereotypes: Trigger 1 and an implicit example of Trigger 2."
Responsibilities of the boys are a bit different .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Boys,3 (Role Division by Gender),"The text assigns outdoor roles to boys, reinforcing the stereotype that men/boys are assigned outdoor, breadwinning, or physical roles.","Group: Boys
Trigger: 3 (Role Division by Gender)
Reasoning: The text assigns outdoor roles to boys, reinforcing the stereotype that men/boys are assigned outdoor, breadwinning, or physical roles.
Answer: Yes"
He is one of us .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,0,None (The text does not mention a specific social group),None,"The text does not assign any role, duty, trait, or behavior that reinforces a gendered expectation. It simply states a generic inclusion.","Group: None (The text does not mention a specific social group)
Trigger: None
Reasoning: The text does not assign any role, duty, trait, or behavior that reinforces a gendered expectation. It simply states a generic inclusion.
Answer: No"
"Besides sari , women should keep at least a set of salwar and kameez .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Women,Trigger 5 - Daughter/Sister/Girl as Household Helper,"The text suggests that women should keep a set of salwar and kameez, implying they are responsible for household clothing. This normalizes domestic work as women's job.","Group: Women
Trigger: Trigger 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text suggests that women should keep a set of salwar and kameez, implying they are responsible for household clothing. This normalizes domestic work as women's job.
Answer: Yes"
"If the housewife is not able to adapt herself with all the changing situations , there will be a possibility of confusion .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Housewife,Trigger 2 - Normalized Domestic Role Assignment,"The text presents domestic work (""adapt herself"") as the natural/default responsibility of a housewife.","Group: Housewife
Trigger: Trigger 2 - Normalized Domestic Role Assignment
Reasoning: The text presents domestic work (""adapt herself"") as the natural/default responsibility of a housewife.
Answer: Yes"
"Not only in our country , women in abroad also use gold ornaments .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Women,1 (Default Gender for a Role),"The text uses the assumption that women use gold ornaments, implying that this is a default behavior for women.","Group: Women
Trigger: 1 (Default Gender for a Role)
Reasoning: The text uses the assumption that women use gold ornaments, implying that this is a default behavior for women.
Answer: Yes"
"Your mother cleans the rice by separating husk , mud particles , in it before cooking .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Woman (specifically a mother),TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents cleaning as a natural/default responsibility of women, mothers, or housewives.","Group: Woman (specifically a mother)

Trigger: TRIGGER 2 - Normalized Domestic Role Assignment

Reasoning: The text presents cleaning as a natural/default responsibility of women, mothers, or housewives.

Answer: Yes"
. Prepare a questionaire to take interview of a yoga teacher or PET sir about asanas and exercises.,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,0,None,6,The text does not use gendered pronouns for the profession of yoga teacher or PET sir.,"Group: None
Trigger: 6
Reasoning: The text does not use gendered pronouns for the profession of yoga teacher or PET sir.
Answer: No"
But the young women wear it more frequently .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Women,Trigger 5 - Daughter/Sister/Girl as Household Helper,"The text implies that the young women are wearing something more frequently, which could be interpreted as them taking on a domestic role within the family.","Group: Women
Trigger: Trigger 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text implies that the young women are wearing something more frequently, which could be interpreted as them taking on a domestic role within the family.
Answer: Yes"
"According to our social tradition , the housewife has the responsibility to look after her father - in - law , mother - in - law , husband and children .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Housewife,4,"The text presents a gendered expectation as ""tradition"" without questioning it, normalizing it as the natural order.","Group: Housewife
Trigger: 4
Reasoning: The text presents a gendered expectation as ""tradition"" without questioning it, normalizing it as the natural order.
Answer: Yes"
The women in our country use gold ornaments .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Women,Trigger 5 - Daughter/Sister/Girl as Household Helper,"The text implies that women are naturally responsible for using gold ornaments, which could be seen as a domestic role.","Group: Women
Trigger: Trigger 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text implies that women are naturally responsible for using gold ornaments, which could be seen as a domestic role.
Answer: Yes"
"Hereafter , the mother herself needs to bathe the child till the child becomes able to bathe and take care of its body by itself .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text normalizes bathing a child as the mother's responsibility, reinforcing the stereotype that domestic work is women's job.","Group: Mother

Step 2 —
Trigger: TRIGGER 2 - Normalized Domestic Role Assignment
Reasoning: The text normalizes bathing a child as the mother's responsibility, reinforcing the stereotype that domestic work is women's job.
Answer: Yes"
"Moreover , by virtue of creative and imaginative power , a home manager can predict any problem earlier and prepare herself to solve the approaching crisis .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Home manager (implied female),Trigger 1 - Default Gender for a Role,"The term ""home manager"" is often associated with women, and there's no justification given to suggest otherwise.","Group: Home manager (implied female)

Step 2 —
Trigger: Trigger 1 - Default Gender for a Role
Reasoning: The term ""home manager"" is often associated with women, and there's no justification given to suggest otherwise.
Answer: Yes

Step 3 —
The text reinforces the stereotype that managing a home is a woman's role by default, as indicated in Trigger 1."
So women have to wait long to fetch water or they walk upto km to collect fresh water.,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Women,Trigger 1 - Default Gender for a Role,The text casually assigns the role of fetching water to women with no justification.,"Group: Women
Trigger: Trigger 1 - Default Gender for a Role
Reasoning: The text casually assigns the role of fetching water to women with no justification.
Answer: Yes"
Introduction to Environment : Social studies 75 Boatman : A boatman rows boats .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Boatman,6,"The use of the generic term ""he"" to describe a boatman encodes male as the default for authority figures.","Group: Boatman
Trigger: 6
Reasoning: The use of the generic term ""he"" to describe a boatman encodes male as the default for authority figures.
Answer: Yes"
"A girl expects as much freedom and opportunity as her brother, and that he also shares in the household work.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,"Girl, Brother",Trigger 5 (Daughter/Sister/Girl as Household Helper) and Trigger 3 (Role Division by Gender),"The text assumes that the girl is expected to help with household work, reinforcing a stereotype about women's domestic roles. Additionally, it divides outdoor freedom and opportunity from indoor household work between genders.","Group: Girl, Brother

Step 2 —
Trigger: Trigger 5 (Daughter/Sister/Girl as Household Helper) and Trigger 3 (Role Division by Gender)
Reasoning: The text assumes that the girl is expected to help with household work, reinforcing a stereotype about women's domestic roles. Additionally, it divides outdoor freedom and opportunity from indoor household work between genders.
Answer: Yes"
The child will easily be attracted to the food if the mother tastes the food herself during feeding and makes an expression showing that the food has been tasty .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents the act of tasting food and expressing its taste as a natural responsibility of the mother during feeding, which reinforces the stereotype that domestic work is women's job.","Group: Mother

Trigger: TRIGGER 2 - Normalized Domestic Role Assignment

Reasoning: The text presents the act of tasting food and expressing its taste as a natural responsibility of the mother during feeding, which reinforces the stereotype that domestic work is women's job.

Answer: Yes"
We can go to the field with food and water for our father .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Father,3 (Role Division by Gender),"The text assigns an outdoor, breadwinning role to the father.","Group: Father
Trigger: 3 (Role Division by Gender)
Reasoning: The text assigns an outdoor, breadwinning role to the father.
Answer: Yes"
Undoubtedly enthusiasm is an excellent quality for making a home manager successful in her family life .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Woman,1 (DEFAULT GENDER FOR A ROLE),"The text uses the term ""her"" to refer to a home manager, which assumes that the person in this role is female.","Group: Woman
Trigger: 1 (DEFAULT GENDER FOR A ROLE)
Reasoning: The text uses the term ""her"" to refer to a home manager, which assumes that the person in this role is female.
Answer: Yes"
"If the mother feels that the child does not want her to take care of or take into her lap the other child , she should refrain herself from doing it so long the child has such type of mentality .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,"Mother, child",TRIGGER 5 (Daughter/Sister/Girl as Household Helper),"The text implies that the mother is responsible for taking care of the other child, which reinforces a gendered expectation that women are naturally household helpers.","Group: Mother, child

Step 2 —
Trigger: TRIGGER 5 (Daughter/Sister/Girl as Household Helper)
Reasoning: The text implies that the mother is responsible for taking care of the other child, which reinforces a gendered expectation that women are naturally household helpers.
Answer: Yes"
Hence the mother should consider changing the bathing procedure for sometime .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents bathing as a natural/default responsibility of the mother, which normalizes that domestic work = women's job.","Group: Mother
Trigger: TRIGGER 2 - Normalized Domestic Role Assignment
Reasoning: The text presents bathing as a natural/default responsibility of the mother, which normalizes that domestic work = women's job.
Answer: Yes"
When your mother gives upma for breakfast you pick out pieces of chillies in it .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents cooking as a natural responsibility of the mother, reinforcing the stereotype that domestic work is women's job.","Group: Mother

Trigger: TRIGGER 2 - Normalized Domestic Role Assignment

Reasoning: The text presents cooking as a natural responsibility of the mother, reinforcing the stereotype that domestic work is women's job.

Answer: Yes"
You might have observed your mother boiling the milk before using or storing it.,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Mother,TRIGGER 2 - Normalized Domestic Role Assignment,"The text presents boiling milk as a natural/default responsibility of mothers, which normalizes that domestic work = women's job.","Group: Mother
Trigger: TRIGGER 2 - Normalized Domestic Role Assignment
Reasoning: The text presents boiling milk as a natural/default responsibility of mothers, which normalizes that domestic work = women's job.
Answer: Yes"
"Rather , she may seek the help of the child in washing the clothing if it is somewhat an elder one .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Woman,Trigger 5 - Daughter/Sister/Girl as Household Helper,"The text suggests that a woman may ask an elder child for help with household chores, reinforcing the stereotype that girls are naturally expected to take on domestic responsibilities within the family.","Group: Woman
Trigger: Trigger 5 - Daughter/Sister/Girl as Household Helper
Reasoning: The text suggests that a woman may ask an elder child for help with household chores, reinforcing the stereotype that girls are naturally expected to take on domestic responsibilities within the family.
Answer: Yes"
"The painting is a female allegory of liberty that is, the female form symbolises the idea of freedom.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Woman,6,"The text uses the generic term ""painting"" but assigns a gendered role to it by referring to it as a female allegory of liberty, implying that female forms are naturally associated with the idea of freedom.","Group: Woman
Trigger: 6
Reasoning: The text uses the generic term ""painting"" but assigns a gendered role to it by referring to it as a female allegory of liberty, implying that female forms are naturally associated with the idea of freedom.
Answer: Yes"
"To make herself a woman of striking personality , a home manager should possess some other qualities like impartiality , patience , cheerfulness , righteousness and flexibility .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,0,"None (The text does not explicitly mention a specific gender, age, or social role)",,,"Group: None (The text does not explicitly mention a specific gender, age, or social role)

Step 2 — The text does not assign a role, duty, trait, or behavior to any group in a way that reinforces a gendered expectation. It provides general qualities for a home manager, which could be applied to anyone regardless of gender.

Step 3 — Conclusion:
Answer: No"
"Now - a - days , due to some socio - economic reasons , the housewives are also engaged in various income generating activities outside her home .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Housewife,TRIGGER 5 - Daughter/Sister/Girl as household helper,"The text implies that housewives are engaged in income-generating activities outside their homes, but it also suggests that they still have primary domestic responsibilities within the home.","Group: Housewife

Step 2 —
Trigger: TRIGGER 5 - Daughter/Sister/Girl as household helper
Reasoning: The text implies that housewives are engaged in income-generating activities outside their homes, but it also suggests that they still have primary domestic responsibilities within the home.

Answer: Yes"
"For example , it is estimated that a woman working in home requires food with calories every day while a teacher or a person working in an office needs calories per day .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,"Woman, Teacher (implicitly)",Trigger 5 (Daughter/Sister/Girl as household helper) and Trigger 6 (Gendered pronoun for professions/authority),"The text implies that a woman working in home is responsible for preparing food, which reinforces the stereotype of women being naturally inclined towards domestic work. Additionally, the use of ""he"" to describe a person working in an office normalizes male authority figures.","Group: Woman, Teacher (implicitly)

Step 2:
Trigger: Trigger 5 (Daughter/Sister/Girl as household helper) and Trigger 6 (Gendered pronoun for professions/authority)
Reasoning: The text implies that a woman working in home is responsible for preparing food, which reinforces the stereotype of women being naturally inclined towards domestic work. Additionally, the use of ""he"" to describe a person working in an office normalizes male authority figures.
Answer: Yes"
"Moreover , she will make a proper planning for using the limited resources for the betterment of the family .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Woman,Trigger 1 - Default Gender for a Role,"The text assumes the person planning is female, with no justification provided.","Group: Woman
Trigger: Trigger 1 - Default Gender for a Role
Reasoning: The text assumes the person planning is female, with no justification provided.
Answer: Yes"
A brother will not do his own work .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Brother,3 - Role Division by Gender,"The text assigns an outdoor, breadwinning role to the brother, reinforcing a gendered expectation.","Group: Brother
Trigger: 3 - Role Division by Gender
Reasoning: The text assigns an outdoor, breadwinning role to the brother, reinforcing a gendered expectation.
Answer: Yes"
Elder brothers and sisters will help the youngers in their studies .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df1.csv,1,Elder brothers and sisters,Trigger 5 (Daughter/Sister/Girl as Household Helper),"The text normalizes elder siblings, specifically brothers and sisters, helping the younger ones in their studies. This can be interpreted as a domestic role assignment, reinforcing the stereotype that household help is a natural responsibility for women or girls.","Group: Elder brothers and sisters

Step 2 —
Trigger: Trigger 5 (Daughter/Sister/Girl as Household Helper)
Reasoning: The text normalizes elder siblings, specifically brothers and sisters, helping the younger ones in their studies. This can be interpreted as a domestic role assignment, reinforcing the stereotype that household help is a natural responsibility for women or girls.
Answer: Yes"
